2	1	.	63
2	2	.	65
2	3	.	62
2	4	.	84
2	5	.	73
2	6	.	25
2	7	.	46
2	8	.	65
2	9	.	57
2	10	.	36
2	11	.	64
2	12	.	.
2	13	.	64
2	14	.	68
2	15	.	60
2	16	.	65
2	17	.	80
2	18	.	73
2	19	.	36
2	20	.	67
2	21	.	68
2	22	.	63
2	23	.	54
2	24	.	.
2	25	.	58
2	26	.	65
2	27	.	60
2	28	.	.
2	29	.	58
2	30	.	58
2	31	.	56
2	32	.	59
2	33	.	72
2	34	.	61
2	35	.	61
2	36	.	71
2	37	.	68
2	38	.	60
2	39	.	40
2	40	.	74
2	41	.	35
2	42	.	61
2	43	.	58
2	44	.	32
2	45	.	70
2	46	.	56
2	47	.	63
2	48	.	.
2	49	.	61
2	50	.	24
2	51	.	70
2	52	.	.
2	53	.	57
2	54	.	73
2	55	.	67
2	56	.	62
2	57	.	68
2	58	.	70
2	59	.	62
2	60	.	31
2	61	.	29
2	62	.	57
2	63	.	53
2	64	.	43
2	65	.	64
2	66	.	41
2	67	.	70
2	68	.	54
2	69	.	57
2	70	.	45
2	71	.	64
2	72	.	79
2	73	.	61
2	74	.	62
2	75	.	74
2	76	.	40
2	77	.	57
2	78	.	69
2	79	.	62
2	80	.	35
2	81	.	61
2	82	.	69
2	83	.	67
2	84	.	59
2	85	.	54
2	86	.	70
2	87	.	42
2	88	.	64
2	89	.	59
2	90	.	71
2	91	.	41
2	92	.	61
2	93	.	72
2	94	.	60
2	95	.	29
2	96	.	57
2	97	.	53
2	98	.	37
2	99	.	65
2	100	.	40
2	101	.	61
2	102	.	.
2	103	.	55
2	104	.	87
2	105	.	59
2	106	.	59
2	107	.	63
2	108	.	56
2	109	.	69
2	110	.	59
2	111	.	.
2	112	.	72
2	113	.	62
2	114	.	60
2	115	.	43
2	116	.	59
2	117	.	58
2	118	.	41
2	119	.	.
2	120	.	83
2	121	.	77
2	122	.	65
2	123	.	.
2	124	.	.
3	1	22	73
3	2	0	70
3	3	24	76
3	4	0	72
3	5	0	80
